--------------------------------------------------------------------------------
		Marvellous Infosystems Process Log
		Log file is created at : Thu Jun 19 12:03:43 2025
--------------------------------------------------------------------------------{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375} 
{'pid': 17940, 'name': 'Code.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 13.58984375} 

{'pid': 17980, 'name': 'msedgewebview2.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 39.45703125} 

{'pid': 18076, 'name': 'conhost.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 1.7109375} 

{'pid': 18144, 'name': 'chrome.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 137.23046875} 

{'pid': 18256, 'name': 'msdtc.exe', 'username': None, 'vms': 3.2421875} 

{'pid': 18316, 'name': 'ShellExperienceHost.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 46.453125} 

{'pid': 18636, 'name': 'msedgewebview2.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 35.7109375} 

{'pid': 18748, 'name': 'chrome.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 259.5078125} 

{'pid': 18868, 'name': 'winlogon.exe', 'username': None, 'vms': 2.70703125} 

{'pid': 18900, 'name': 'chrome.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 200.08203125} 

{'pid': 19124, 'name': 'conhost.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 1.69921875} 

{'pid': 19504, 'name': 'OfficeClickToRun.exe', 'username': None, 'vms': 37.21875} 

{'pid': 19632, 'name': 'svchost.exe', 'username': None, 'vms': 4.06640625} 

{'pid': 19648, 'name': 'PhoneExperienceHost.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 81.2265625} 

{'pid': 19944, 'name': 'msedgewebview2.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 9.78125} 

{'pid': 20112, 'name': 'Code.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 80.8984375} 

{'pid': 20204, 'name': 'audiodg.exe', 'username': None, 'vms': 243.69921875} 

{'pid': 20208, 'name': 'msedgewebview2.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 83.05859375} 

{'pid': 20264, 'name': 'chrome.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 189.296875} 

{'pid': 20464, 'name': 'ShellHost.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 36.58203125} 

{'pid': 20536, 'name': 'ApplicationFrameHost.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 61.59765625} 

{'pid': 20552, 'name': 'ServiceShell.exe', 'username': None, 'vms': 107.140625} 

{'pid': 20636, 'name': 'svchost.exe', 'username': None, 'vms': 2.3203125} 

{'pid': 21104, 'name': 'svchost.exe', 'username': None, 'vms': 8.921875} 

{'pid': 21348, 'name': 'svchost.exe', 'username': None, 'vms': 7.19921875} 

{'pid': 21496, 'name': 'msedgewebview2.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 8.6953125} 

{'pid': 21520, 'name': 'Launchpad.exe', 'username': None, 'vms': 85.6875} 

{'pid': 21572, 'name': 'fdlauncher.exe', 'username': None, 'vms': 0.84765625} 

{'pid': 21604, 'name': 'fdhost.exe', 'username': None, 'vms': 14.203125} 

{'pid': 21612, 'name': 'conhost.exe', 'username': None, 'vms': 1.0234375} 

{'pid': 21700, 'name': 'svchost.exe', 'username': None, 'vms': 70.48046875} 

{'pid': 21756, 'name': 'chrome.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 150.43359375} 

{'pid': 21988, 'name': 'sqlceip.exe', 'username': None, 'vms': 45.796875} 

{'pid': 22004, 'name': 'svchost.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 4.10546875} 

{'pid': 22028, 'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 13.96875} 

{'pid': 22084, 'name': 'svchost.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 3.3203125} 

{'pid': 22104, 'name': 'svchost.exe', 'username': None, 'vms': 3.29296875} 

{'pid': 22140, 'name': 'svchost.exe', 'username': None, 'vms': 1.796875} 

{'pid': 22156, 'name': 'SupportAssistAgent.exe', 'username': None, 'vms': 154.46484375} 

{'pid': 22320, 'name': 'DDVDataCollector.exe', 'username': None, 'vms': 59.1953125} 

{'pid': 22332, 'name': 'msedge.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 65.78515625} 

{'pid': 22432, 'name': 'DDVCollectorSvcApi.exe', 'username': None, 'vms': 2.140625} 

{'pid': 22612, 'name': 'TextInputHost.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 50.67578125} 

{'pid': 22712, 'name': 'svchost.exe', 'username': None, 'vms': 1.375} 

{'pid': 22848, 'name': 'svchost.exe', 'username': None, 'vms': 3.6796875} 

{'pid': 22904, 'name': 'SearchProtocolHost.exe', 'username': None, 'vms': 2.6875} 

{'pid': 23188, 'name': 'chrome.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 10.38671875} 

{'pid': 23244, 'name': 'svchost.exe', 'username': None, 'vms': 9.73046875} 

{'pid': 23464, 'name': 'CrossDeviceService.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 21.0078125} 

{'pid': 23648, 'name': 'PowerToys.CropAndLock.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 17.5546875} 

{'pid': 23740, 'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 1.29296875} 

